This file contains the monthly mean baseline (background) methane (CH4) concentration
"measured at the Kennaook / Cape Grim Baseline Air Pollution Station (KCGBAPS), "
"located near the north-west tip of Tasmania, Australia."
"KCGBAPS is funded and managed by the Australian Bureau of Meteorology, and"
the scientific program is jointly supervised with CSIRO Oceans & Atmosphere.
Please acknowledge these two institutions if these data are used in publications or presentations.

For more information on Kennaook / Cape Grim please see:
http://www.csiro.au/greenhouse-gases/
https://www.csiro.au/en/Research/OandA/Areas/Assessing-our-climate/Greenhouse-gas-data
http://www.bom.gov.au/inside/cgbaps/

The CH4 units are parts per billion in dry air (ppb).

The most recent year of data is provided in this file on
a provisional basis only. These data may be subject to further revision. 
CSIRO & the Bureau make every effort to produce the most accurate and 
"precise measurements possible. However, they reserve the right to make"
corrections to the data based on recalibration of standard gases
or for other reasons deemed scientifically justified.
Please see the full terms & conditions at the end of this file.

Release Date: March 2026
 
YYYY,MM,DD,DATE,CH4(ppb),SD(ppb),GR(ppm/yr),Source
1978,4,26,1978.317800000000,1479.00,0.700000,NaN,"Kennaook / Cape Grim air archive"
1978,7,7,1978.515100000000,1497.10,0.700000,NaN,"Kennaook / Cape Grim air archive"
1979,2,6,1979.101400000000,1495.10,1.80000,NaN,"Kennaook / Cape Grim air archive"
1980,9,3,1980.674900000000,1540.10,0.400000,NaN,"Kennaook / Cape Grim air archive"
1984,5,23,1984.393400000000,1590.90,0.500000,NaN,"Kennaook / Cape Grim air archive"
1984,8,15,1984.620219000000,1610.89,0.183700,NaN,"flask"
1984,9,15,1984.704918000000,1608.32,3.05360,NaN,"flask"
1984,10,15,1984.786885000000,1605.25,2.42990,NaN,"flask"
1984,11,15,1984.871585000000,1602.29,2.22450,NaN,"flask"
1984,12,15,1984.953552000000,1594.68,2.79360,NaN,"flask"
1985,1,15,1985.038356000000,1586.67,2.21960,NaN,"flask"
1985,2,15,1985.123288000000,1581.99,3.19130,7.15100,"flask"
1985,3,15,1985.200000000000,1582.55,2.77540,11.1910,"flask"
